cohort_month,total_users,month_number,active_user,retention_percentage
202311,53,8,27,50.94
202311,53,9,23,43.40
202311,53,10,20,37.74
202311,53,11,20,37.74
202311,53,12,18,33.96
202311,53,13,16,30.19
202311,53,14,15,28.30
202311,53,15,14,26.42
202311,53,16,13,24.53
202311,53,17,9,16.98
202312,33,NULL,8,24.24
202312,33,0,25,75.76
202312,33,1,24,72.73
202312,33,2,23,69.70
202312,33,3,21,63.64
202312,33,4,20,60.61
202312,33,5,18,54.55
202312,33,6,18,54.55
202312,33,7,18,54.55
202312,33,8,14,42.42
202312,33,9,14,42.42
202312,33,10,14,42.42
202312,33,11,12,36.36
202312,33,12,11,33.33
202312,33,13,10,30.30
202312,33,14,10,30.30
202312,33,15,10,30.30
202312,33,16,9,27.27
202401,38,NULL,15,39.47
202401,38,0,23,60.53
202401,38,1,20,52.63
202401,38,2,19,50.00
202401,38,3,18,47.37
202401,38,4,17,44.74
202401,38,5,15,39.47
202401,38,6,14,36.84
202401,38,7,13,34.21
202401,38,8,12,31.58
202401,38,9,12,31.58
202401,38,10,12,31.58
202401,38,11,11,28.95
202401,38,12,10,26.32
202401,38,13,9,23.68
202401,38,14,7,18.42
202401,38,15,4,10.53
202402,36,NULL,10,27.78
202402,36,0,26,72.22
202402,36,1,26,72.22
202402,36,2,24,66.67
202402,36,3,23,63.89
202402,36,4,22,61.11
202402,36,5,21,58.33
202402,36,6,20,55.56
202402,36,7,20,55.56
202402,36,8,20,55.56
202402,36,9,19,52.78
202402,36,10,18,50.00
202402,36,11,18,50.00
202402,36,12,17,47.22
202402,36,13,17,47.22
202402,36,14,11,30.56
202403,49,NULL,14,28.57
202403,49,0,35,71.43
202403,49,1,34,69.39
202403,49,2,32,65.31
202403,49,3,30,61.22
202403,49,4,29,59.18
202403,49,5,29,59.18
202403,49,6,29,59.18
202403,49,7,29,59.18
202403,49,8,27,55.10
202403,49,9,22,44.90
202403,49,10,21,42.86
202403,49,11,19,38.78
202403,49,12,18,36.73
202403,49,13,12,24.49
202404,38,NULL,15,39.47
202404,38,0,23,60.53
202404,38,1,22,57.89
202404,38,2,21,55.26
202404,38,3,19,50.00
202404,38,4,18,47.37
202404,38,5,18,47.37
202404,38,6,18,47.37
202404,38,7,17,44.74
202404,38,8,16,42.11
202404,38,9,15,39.47
202404,38,10,14,36.84
202404,38,11,14,36.84
202404,38,12,11,28.95
202405,32,NULL,12,37.50
202405,32,0,20,62.50
202405,32,1,20,62.50
202405,32,2,19,59.38
202405,32,3,19,59.38
202405,32,4,18,56.25
202405,32,5,17,53.13
202405,32,6,16,50.00
202405,32,7,15,46.88
202405,32,8,12,37.50
202405,32,9,9,28.13
202405,32,10,8,25.00
202405,32,11,4,12.50
202406,48,NULL,11,22.92
202406,48,0,37,77.08
202406,48,1,36,75.00
202406,48,2,35,72.92
202406,48,3,34,70.83
202406,48,4,33,68.75
202406,48,5,31,64.58
202406,48,6,29,60.42
202406,48,7,27,56.25
202406,48,8,23,47.92
202406,48,9,22,45.83
202406,48,10,17,35.42
202407,38,NULL,16,42.11
202407,38,0,22,57.89
202407,38,1,22,57.89
202407,38,2,22,57.89
202407,38,3,22,57.89
202407,38,4,22,57.89
202407,38,5,22,57.89
202407,38,6,22,57.89
202407,38,7,20,52.63
202407,38,8,20,52.63
202407,38,9,14,36.84
202408,36,NULL,14,38.89
202408,36,0,22,61.11
202408,36,1,20,55.56
202408,36,2,17,47.22
202408,36,3,16,44.44
202408,36,4,14,38.89
202408,36,5,14,38.89
202408,36,6,14,38.89
202408,36,7,12,33.33
202408,36,8,8,22.22
202409,49,NULL,14,28.57
202409,49,0,35,71.43
202409,49,1,35,71.43
202409,49,2,32,65.31
202409,49,3,31,63.27
202409,49,4,30,61.22
202409,49,5,28,57.14
202409,49,6,28,57.14
202409,49,7,20,40.82
202410,37,NULL,13,35.14
202410,37,0,24,64.86
202410,37,1,24,64.86
202410,37,2,23,62.16
202410,37,3,23,62.16
202410,37,4,21,56.76
202410,37,5,21,56.76
202410,37,6,17,45.95
202411,49,NULL,16,32.65
202411,49,0,33,67.35
202411,49,1,31,63.27
202411,49,2,31,63.27
202411,49,3,31,63.27
202411,49,4,28,57.14
202411,49,5,20,40.82
202412,36,NULL,13,36.11
202412,36,0,23,63.89
202412,36,1,23,63.89
202412,36,2,23,63.89
202412,36,3,22,61.11
202412,36,4,18,50.00
202501,39,NULL,14,35.90
202501,39,0,25,64.10
202501,39,1,23,58.97
202501,39,2,23,58.97
202501,39,3,14,35.90
202502,42,NULL,11,26.19
202502,42,0,31,73.81
202502,42,1,29,69.05
202502,42,2,25,59.52
202503,48,NULL,18,37.50
202503,48,0,30,62.50
202503,48,1,24,50.00
202504,33,NULL,13,39.39
202504,33,0,20,60.61
